"products_id","products_raw_name","products_type","products_category_id","categories_raw_name"
,,,,
"03f212bc-8a89-4040-8dc1-0be5b9887462","1,1-difluoroethane, HFC-152a","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"ff950e0b-8ad8-4979-87f4-0f6e9cffa7fb","1,1-dimethylcyclopentane","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"80e059d5-6311-4714-a10e-43c921e96c58","1-butanol","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"e310e732-b956-4c9d-848e-cf797bf69f89","1-methoxy-2-propanol","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"c1771609-cb20-47c8-be72-58017ca84391","1-methylcyclopropene","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"4fe4a682-7ebe-476c-bb94-f8e8d50c077b","1-naphthylacetic acid","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"db23f9b1-c57c-4521-8e77-07d0e4bb4dec","1-pentanol","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"66c57786-1705-4a08-8c06-25b0aad5e046","1-propanol","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"313353c5-adba-4450-8682-dadca2b053c3","2,3-dimethylbutan","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"432e5f74-4170-419b-a6b1-58353cf8e33f","2,4-dichlorophenol","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"db05b74b-ba68-4e0b-aafa-ab03ee3d2795","2,4-dichlorotoluene","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"b348708b-0876-4c40-9ab4-beede94d1d83","2,4-dinitrotoluene","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"a9073491-dcc4-4b71-8be4-c6a72db0da00","2,4-di-tert-butylphenol","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"0978db4a-8bd2-4717-8e98-7a9e2a6a11f4","2,5-dimethylhexane-2,5-dihydroperoxide","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"667f21fb-6bdf-4880-a71d-44da632e9872","2,6-di-tert-butylphenol","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"fdc1b8f2-8b03-4dc2-b755-31cb61cdc2ce","2-butanol","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"13fb6048-b7a6-4001-b295-ced1e16184f6","2-cyclopentone","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"74e6533e-a8ae-4e30-aa29-9ca9c5de2391","2-methyl-1-butanol","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"f4460ebd-8d77-483e-989d-03332ab99eb8","2-methyl-2-butanol","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"94bb8b11-f9df-4746-b1f5-6155ff25e45f","2-methylpentane","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"b0b59d4a-966e-4d1c-af8a-ef0e4fadf451","2-nitroaniline","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"5fc875a0-0632-4bed-8b13-633300e4d99a","2-pyridinol","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"7b858d3e-d4dd-48e7-a8c2-80f15bb0b448","3-methyl-1-butanol","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"c06f5739-c3a1-4f65-84b6-e983ce3a330a","3-methyl-1-butyl acetate","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"be0c75df-b391-473d-8473-31f4d688b87d","3-methylpyridine","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"01e5e20f-e98d-4a55-8610-ac2cd6ee4fd8","4-methyl-2-pentanone","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"324fec1c-0473-4248-9057-f47f47198826","4-tert-butylbenzaldehyde","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"4217a81f-27b8-40e5-8fcb-30e669b93f33","4-tert-butyltoluene","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"4f07a853-cfca-4625-b605-c3f1713936bd","6-benzyladenine","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"0ee32490-c3d6-475a-94d1-10624ce72f14","absorption chiller, 100kW","material","a291de69-35a2-11ec-ba41-b0fc3626dcfb","machinery"
"591b8ac7-a4ca-41a9-ad1b-fa7905cf4fc4","acetaldehyde","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"42fc1f52-7641-4ae3-a62c-6bb0e09227c0","acetamide-anillide-compound, unspecified","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"bee7f9f3-a9da-4059-b760-3329ced31c2e","acetanilide","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"dafef4c5-2311-482e-8d31-ecab516a6fd6","acetic acid, without water, in 98% solution state","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"e93c3695-24ba-4bd6-8cff-a10d0e89e0f3","acetic anhydride","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"59be95c1-6ff0-48da-9c47-5f1b481300af","acetoacetic acid","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"6f874aa1-ae76-46b6-9f4d-2be9eced1fd6","acetone cyanohydrin","material","a291de7b-35a2-11ec-ba41-b0fc3626dcfb","plastics and polymers"
"e44faeb4-8ad5-47eb-af00-b1644346040c","acetone, liquid","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"f7c5e9fb-ab10-4613-bbd3-aef7bdd98ce2","acetonitrile","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"77fa5d0f-eca8-4cc4-8afc-c123e96eeb0c","acetyl chloride","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"4643ad70-5da4-4f40-94f4-14c2f039b37e","acetylene","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"1db44472-af6a-4552-89ad-1e5bdbe8199a","aclonifen","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"931ef534-4037-40bd-858d-6c54588a9a10","acrolein","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"20cd27e8-6dd8-4676-9e5f-3365b60b2e7c","acrylic acid","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"db5d61c2-08c0-4202-a924-65b016c6fbb9","acrylic binder, with water, in 54% solution state","material","a291de8c-35a2-11ec-ba41-b0fc3626dcfb","paints and inks"
"0c6ab796-d802-4e44-92ee-027a7277abb6","acrylic dispersion, with water, in 58% solution state","material","a291de8c-35a2-11ec-ba41-b0fc3626dcfb","paints and inks"
"feee93a5-36ab-450b-8fb2-8e76df80e975","acrylic filler","material","a291de8c-35a2-11ec-ba41-b0fc3626dcfb","paints and inks"
"ed57cfc1-b83d-47d0-8ff6-a88b1b352093","acrylic varnish, with water, in 53% solution state","material","a291de8c-35a2-11ec-ba41-b0fc3626dcfb","paints and inks"
"bcff4ff7-2c4f-444f-b367-3fca1a37ec58","acrylonitrile","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"ec82b45f-ee24-45e3-a67f-6cb2d59c652c","acrylonitrile-butadiene-styrene copolymer","material","a291de7b-35a2-11ec-ba41-b0fc3626dcfb","plastics and polymers"
"882b2d0f-7d87-4f9c-84ec-74ab8c57d19f","activated bentonite","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"d780c6db-2347-4ab3-bc38-a9da2a5b2e7b","activated carbon, granular","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"c659ca4d-c2da-4ee5-9152-ba9be01bb6e8","activated silica","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"4e869ee3-da68-4a03-b718-b2da294a2abe","adhesive, for metal","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"b3b42c98-fc3f-434d-ac9d-a69fcc9094ac","adhesive mortar","material","a291de9c-35a2-11ec-ba41-b0fc3626dcfb","mineral products"
"918e2e7c-c019-40a4-9467-4f03a9f949ca","adipic acid","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"f14f3584-8994-49ed-92cb-7eb82f6415df","adiponitrile","material","a291de41-35a2-11ec-ba41-b0fc3626dcfb","chemicals"
"34d45718-82cc-45da-8f40-997a6ae3fbb4","agricultural machinery, tillage","material","a291de69-35a2-11ec-ba41-b0fc3626dcfb","machinery"
"eb7a431c-f9eb-4dac-81d7-69606c03df65","agricultural machinery, unspecified","material","a291de69-35a2-11ec-ba41-b0fc3626dcfb","machinery"
"b3372b46-eef9-48e0-bee1-5e8824226240","agricultural trailer","material","a291de69-35a2-11ec-ba41-b0fc3626dcfb","machinery"
"3da2b2b7-46c5-47be-ae14-7925476a69fc","air compressor, screw-type compressor, 300kW","material","a291de69-35a2-11ec-ba41-b0fc3626dcfb","machinery"
"1c2cd6ec-ae9d-4625-a83c-8a37e0d93398","air compressor, screw-type compressor, 4kW","material","a291de69-35a2-11ec-ba41-b0fc3626dcfb","machinery"
"49ed8609-957d-4eb4-85f3-69229a2d99a7","aircraft, belly freight, long haul","material","a291dec9-35a2-11ec-ba41-b0fc3626dcfb","vehicles"
